Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1505252869599109120,"@xucaen Thank you for informing us. We're sorry this happened!  We'd like to help! You can view return or replacement options, if eligible here: https://t.co/5egjop5Ga4. We hope this helps, but if you need further assistance, please let us know!  -Toshiba",Amazon,amazon,2022-03-19T18:40:25.000Z,Sat Mar 19 18:40:25 +0000 2022,1,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,http://amzn.to/NAReturns ,0,1,,,,,
1505206743944634380,You either love spring cleaning or hate it. There is no in-between. Which team are you on?,Amazon,amazon,2022-03-19T15:37:07.000Z,Sat Mar 19 15:37:07 +0000 2022,102,8,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1505195017966653442,"@aclemosc Ol†! Bom dia! Lamentamos pelo inconveniente. Estamos aqui e vamos tentar ajudar vocà. Conta um pouco mais para n¢s? O seu pedido Ç vendido e entregue pela Amazon, ou por um vendedor parceiro? -Th†bata.",Amazon,amazon,2022-03-19T14:50:32.000Z,Sat Mar 19 14:50:32 +0000 2022,0,0,pt,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1505156641062326276,@MautikItaliya Could you please confirm reaching out to our team through the link provided earlier? Please don?t provide your order/account details as we consider them to be personal information. Our Twitter page is visible to public. -Paul,Amazon,amazon,2022-03-19T12:18:02.000Z,Sat Mar 19 12:18:02 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1505151066878496769,@MautikItaliya Please be informed that the link mentioned will stay active for 1 hour. Please don?t provide your order/account details as we consider them to be personal information. Our Twitter page is visible to public. (2/2) -Paul,Amazon,amazon,2022-03-19T11:55:53.000Z,Sat Mar 19 11:55:53 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1505150649905954816,@MautikItaliya Sorry for the trouble with your order. Kindly connect with our Social Media team using the link here: https://t.co/AYcq17gA6t. We'll look into it and assist you further. Appreciate your patience and understanding. (1/2) -Paul,Amazon,amazon,2022-03-19T11:54:13.000Z,Sat Mar 19 11:54:13 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,http://www.amazon.in/message-us?paradigm=social_media_escalation&muClientName=socialMedia&callflow=f862ed54-436e-4db2-a80c-0bd24a9970a4&t=1647690696956&contextData=%257B%2522orderId%2522%253A%2522%2B%2522%252C%2522customerSelectedIssues%2522%253A%2522%2B%2BCustomer%2BPost%253A%2B18338346%2BVertical%253A%2BConsumer%2522%257D&sig=IaQZ1lzL9f2wk7On4UXCFNFr5XAByevVjLU/UVejN+vJPg5OYVrOzzwRiemCh5f3NVPI4UCTtKPxXw8YfL0fEGyLh58HP4mKy9dvhalOYrq4K0ALsYrxxax3M1h8liE7vPWmxHQj2Xh9kgoG2EwC4nzSkXsjhhcJT7GH2qAoVaztH2Wy8r+RWsi/WOeyuP4lIN0PaZAT2sz3W1a1Ue1w7G/nw7eDZ7fglujUECDhGgeEo7P+zBNOEdsevvdFP0Kxe9l57jI52wDf8dJY8PM2i8ADYxNnHP2xThPBwB+wNksRyISU+zFCKhnLB6XytCLRYInVjZZzdHA4y+XNx9gmWA== ,0,1,,,,,
1505147845837533187,@MRPRODUCTS4 Please don?t provide your order/account details as we consider them to be personal information. Our Twitter page is visible to public. (2/2) -Ayaz,Amazon,amazon,2022-03-19T11:43:05.000Z,Sat Mar 19 11:43:05 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Tweet,,0,1,,,,,
1505147775096393729,"@MRPRODUCTS4 We're sorry to know about the trouble you're facing regarding the refund. Kindly report your concern to our support team here:https://t.co/0KooDAGDOX, our team will assist you accordingly. (1/2) -Ayaz",Amazon,amazon,2022-03-19T11:42:48.000Z,Sat Mar 19 11:42:48 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Tweet,https://amzn.to/37gR41M ,0,1,,,,,
1505033394681430025,@EddyEspina We're sorry to hear this! We'd like to help however possible. Are you experiencing a current issue with an active order that hasn't been resolved? Please let us know. -Sara,Amazon,amazon,2022-03-19T04:08:18.000Z,Sat Mar 19 04:08:18 +0000 2022,2,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1504961412006821889,@abbiegoodman Thank you for the additional information. It helps. We appreciate your sharing this experience with us. We're always looking for ways to improve our services. Let us know if you have any other concerns. (2/2) -Anne,Amazon,amazon,2022-03-18T23:22:16.000Z,Fri Mar 18 23:22:16 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
